City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
378,sinabang,2.4803,96.3801,27.27,78,62,1.17,ID,1707866303
379,abu road,24.4833,72.7833,16.2,22,56,2.48,IN,1707866303
380,san mariano,7.5,126.0,22.33,94,81,1.43,PH,1707866303
381,takoradi,4.8845,-1.7554,27.89,88,3,3.33,GH,1707866303
382,codrington,-38.2667,141.9667,16.27,42,66,5.74,AU,1707866304
383,san pedro pochutla,15.7333,-96.4667,29.84,54,0,2.82,MX,1707866304
384,al fulah,11.7329,28.3579,24.36,11,87,5.11,SD,1707866304
385,nuuk,64.1835,-51.7216,-11.66,67,1,9.77,GL,1707866305
386,tatarsk,55.219,75.9828,-7.03,94,100,7.9,RU,1707866305
387,aykhal,66.0,111.5,-34.02,100,100,3.69,RU,1707866305
388,lianzhou,24.7811,112.3825,14.91,95,68,1.21,CN,1707866305
389,lebork,54.5392,17.7501,4.95,92,91,3.49,PL,1707866306
390,canto do buriti,-8.11,-42.9444,25.35,73,91,1.47,BR,1707866306
391,chibougamau,49.9168,-74.3659,-14.21,85,100,2.06,CA,1707866306
392,wang saphung,17.301,101.7685,14.01,100,71,1.03,TH,1707866306
393,dives-sur-mer,49.2818,-0.1013,11.55,92,100,5.8,FR,1707866307
394,tura,25.5198,90.2201,15.04,35,63,1.24,IN,1707866307
395,humaita,-7.5061,-63.0208,24.3,87,77,1.24,BR,1707866307
396,shush,32.1942,48.2436,17.08,45,76,2.56,IR,1707866307
397,taro,-8.3862,115.28,23.0,92,85,0.83,ID,1707866308
398,zaysan,47.4667,84.8667,-17.46,84,68,1.5,KZ,1707866308
399,fortuna,40.5982,-124.1573,16.07,78,75,1.79,US,1707866186
400,isangel,-19.55,169.2667,29.06,89,75,4.63,VU,1707866309
401,greymouth,-42.4667,171.2,17.37,67,10,2.25,NZ,1707866309
402,dalian,38.9122,121.6022,2.96,100,75,3.0,CN,1707866309
403,yamada,39.4667,141.95,10.69,73,63,5.56,JP,1707866310
404,kalmunai,7.4167,81.8167,25.68,85,83,5.25,LK,1707866310
405,mazatlan,23.2167,-106.4167,23.98,76,100,3.6,MX,1707866156
406,saudarkrokur,65.7461,-19.6394,-7.65,95,99,2.62,IS,1707866311
407,akjoujt,19.6969,-14.4164,25.54,25,15,4.45,MR,1707866311
408,dingcheng,32.1272,115.0394,12.07,76,2,2.89,CN,1707866311
